id,name,website,status,suggested_email,other_candidates,final_email
"1","Paystack","https://paystack.com","site_unreachable","","",""
"2","Flutterwave","https://flutterwave.com","site_unreachable","","",""
"3","Interswitch","https://interswitchgroup.com","none_found","","",""
"4","Kuda","https://kuda.com","found","help@kuda.com","",""
"5","Co-Creation Hub","https://cchubnigeria.com","found","info@cchubnigeria.com","info@cchub.africa; tip-offs@deloitte.com.ng",""
"6","MTN Nigeria","https://mtnonline.com","site_unreachable","","",""
"7","Airtel Nigeria","https://airtel.com.ng","none_found","","",""
"8","Globacom","https://gloworld.com","site_unreachable","","",""
"9","Nigerian Communications Commission (NCC)","https://ncc.gov.ng","none_found","","",""
"10","NITDA","https://nitda.gov.ng","found","info@nitda.gov.ng","",""
"11","GTBank","https://gtbank.com","none_found","","",""
"12","Access Bank","https://accessbankplc.com","found","info@accessbankplc.com","",""
"13","Zenith Bank","https://zenithbank.com","none_found","","",""
"14","First Bank","https://firstbanknigeria.com","site_unreachable","","",""
"15","UBA","https://ubagroup.com","none_found","","",""
"16","Stanbic IBTC","https://stanbicibtcbank.com","site_unreachable","","",""
"17","Fidelity Bank","https://fidelitybank.ng","site_unreachable","","",""
"18","FCMB","https://fcmb.com","none_found","","",""
"19","Nigerian Exchange Group","https://ngxgroup.com","found","contact@ngxgroup.com","contactcenter@ngxgroup.com; ngxabuja@ngxgroup.com; oowolabi@ngxgroup.com; ngxkano@ngxgroup.com; ngxph@ngxgroup.com",""
"20","Central Bank of Nigeria","https://cbn.gov.ng","none_found","","",""
"21","Air Peace","https://flyairpeace.com","found","info@flyairpeace.com","",""
"22","NNPC","https://nnpcgroup.com","site_unreachable","","",""
"23","Nigeria LNG (NLNG)","https://nlng.com","site_unreachable","","",""
"24","Oando","https://oandoplc.com","found","recruitment@oandoplc.com","info@oandoplc.com; webmaster@oandoplc.com; info@oandotrading.bm",""
"25","Seplat Energy","https://seplatenergy.com","site_unreachable","","",""
"26","Ikeja Electric","https://ikejaelectric.com","site_unreachable","","",""
"27","Julius Berger Nigeria","https://julius-berger.com","none_found","","",""
"28","Dangote Group","https://dangote.com","found","sales.enquiry@dangote.com","communications@dangote.com",""
"29","Flour Mills of Nigeria","https://fmnplc.com","site_unreachable","","",""
"30","Nigerian Breweries","https://nbplc.com","none_found","","",""
"31","LUTH","https://luth.gov.ng","none_found","","",""
"32","UCH Ibadan","https://uch-ibadan.org.ng","none_found","","",""
"33","National Hospital Abuja","https://nationalhospital.gov.ng","found","contact@nationalhospital.gov.ng","servicom@nationalhospital.gov.ng",""
"34","Reddington Hospital","https://reddingtonhospital.com","found","info@reddingtonhospital.com","",""
"35","Aminu Kano Teaching Hospital","https://akth.org.ng","site_unreachable","","",""
"36","UNILAG","https://unilag.edu.ng","found","communicationunit@unilag.edu.ng","",""
"37","ABU Zaria","https://abu.edu.ng","found","ugadmissions@abu.edu.ng","pgadmissions@abu.edu.ng; ugcertificates@abu.edu.ng; pgcertificates@abu.edu.ng; etranscripts@abu.edu.ng; dua@abu.edu.ng",""
"38","Channels TV","https://channelstv.com","site_unreachable","","",""
"39","Punch Nigeria","https://punchng.com","none_found","","",""
